pixel	spec_rep	type	type_rep	notes	spec_file	spectra_id	unique_id
P3S2	3	plate	1	na	Spec00818.asd.txt	P3S2_3	P3S2_3_PL1
P3S2	3	plate	1	na	Spec00819.asd.txt	P3S2_3	P3S2_3_PL1
P3S2	3	plate	1	na	Spec00820.asd.txt	P3S2_3	P3S2_3_PL1
P3S2	3	plate	1	na	Spec00821.asd.txt	P3S2_3	P3S2_3_PL1
P3S2	3	plate	1	na	Spec00822.asd.txt	P3S2_3	P3S2_3_PL1
P3S2	3	plate	1	na	Spec00823.asd.txt	P3S2_3	P3S2_3_PL1
P3S2	3	plate	1	na	Spec00824.asd.txt	P3S2_3	P3S2_3_PL1
P3S2	3	plate	1	na	Spec00825.asd.txt	P3S2_3	P3S2_3_PL1
P3S2	3	plate	1	na	Spec00826.asd.txt	P3S2_3	P3S2_3_PL1
P3S2	3	plate	1	na	Spec00827.asd.txt	P3S2_3	P3S2_3_PL1
P3S2	3	water	1	na	Spec00828.asd.txt	P3S2_3	P3S2_3_WA1
P3S2	3	water	1	na	Spec00829.asd.txt	P3S2_3	P3S2_3_WA1
P3S2	3	water	1	na	Spec00830.asd.txt	P3S2_3	P3S2_3_WA1
P3S2	3	water	1	na	Spec00831.asd.txt	P3S2_3	P3S2_3_WA1
P3S2	3	water	1	na	Spec00832.asd.txt	P3S2_3	P3S2_3_WA1
P3S2	3	water	1	na	Spec00833.asd.txt	P3S2_3	P3S2_3_WA1
P3S2	3	water	1	na	Spec00834.asd.txt	P3S2_3	P3S2_3_WA1
P3S2	3	water	1	na	Spec00835.asd.txt	P3S2_3	P3S2_3_WA1
P3S2	3	water	1	na	Spec00836.asd.txt	P3S2_3	P3S2_3_WA1
P3S2	3	water	1	na	Spec00837.asd.txt	P3S2_3	P3S2_3_WA1
P3S2	3	sky	1	na	Spec00838.asd.txt	P3S2_3	P3S2_3_SK1
P3S2	3	sky	1	na	Spec00839.asd.txt	P3S2_3	P3S2_3_SK1
P3S2	3	sky	1	na	Spec00840.asd.txt	P3S2_3	P3S2_3_SK1
P3S2	3	sky	1	na	Spec00841.asd.txt	P3S2_3	P3S2_3_SK1
P3S2	3	sky	1	na	Spec00842.asd.txt	P3S2_3	P3S2_3_SK1
P3S2	3	sky	1	na	Spec00843.asd.txt	P3S2_3	P3S2_3_SK1
P3S2	3	sky	1	na	Spec00844.asd.txt	P3S2_3	P3S2_3_SK1
P3S2	3	sky	1	na	Spec00845.asd.txt	P3S2_3	P3S2_3_SK1
P3S2	3	sky	1	na	Spec00846.asd.txt	P3S2_3	P3S2_3_SK1
P3S2	3	sky	1	na	Spec00847.asd.txt	P3S2_3	P3S2_3_SK1
