pixel	spec_rep	type	type_rep	notes	spec_file	spectra_id	unique_id
P3S2	1	plate	1	na	Spec00758.asd.txt	P3S2_1	P3S2_1_PL1
P3S2	1	plate	1	na	Spec00759.asd.txt	P3S2_1	P3S2_1_PL1
P3S2	1	plate	1	na	Spec00760.asd.txt	P3S2_1	P3S2_1_PL1
P3S2	1	plate	1	na	Spec00761.asd.txt	P3S2_1	P3S2_1_PL1
P3S2	1	plate	1	na	Spec00762.asd.txt	P3S2_1	P3S2_1_PL1
P3S2	1	plate	1	na	Spec00763.asd.txt	P3S2_1	P3S2_1_PL1
P3S2	1	plate	1	na	Spec00764.asd.txt	P3S2_1	P3S2_1_PL1
P3S2	1	plate	1	na	Spec00765.asd.txt	P3S2_1	P3S2_1_PL1
P3S2	1	plate	1	na	Spec00766.asd.txt	P3S2_1	P3S2_1_PL1
P3S2	1	plate	1	na	Spec00767.asd.txt	P3S2_1	P3S2_1_PL1
P3S2	1	water	1	na	Spec00768.asd.txt	P3S2_1	P3S2_1_WA1
P3S2	1	water	1	na	Spec00769.asd.txt	P3S2_1	P3S2_1_WA1
P3S2	1	water	1	na	Spec00770.asd.txt	P3S2_1	P3S2_1_WA1
P3S2	1	water	1	na	Spec00771.asd.txt	P3S2_1	P3S2_1_WA1
P3S2	1	water	1	na	Spec00772.asd.txt	P3S2_1	P3S2_1_WA1
P3S2	1	water	1	na	Spec00773.asd.txt	P3S2_1	P3S2_1_WA1
P3S2	1	water	1	na	Spec00774.asd.txt	P3S2_1	P3S2_1_WA1
P3S2	1	water	1	na	Spec00775.asd.txt	P3S2_1	P3S2_1_WA1
P3S2	1	water	1	na	Spec00776.asd.txt	P3S2_1	P3S2_1_WA1
P3S2	1	water	1	na	Spec00777.asd.txt	P3S2_1	P3S2_1_WA1
P3S2	1	sky	1	na	Spec00778.asd.txt	P3S2_1	P3S2_1_SK1
P3S2	1	sky	1	na	Spec00779.asd.txt	P3S2_1	P3S2_1_SK1
P3S2	1	sky	1	na	Spec00780.asd.txt	P3S2_1	P3S2_1_SK1
P3S2	1	sky	1	na	Spec00781.asd.txt	P3S2_1	P3S2_1_SK1
P3S2	1	sky	1	na	Spec00782.asd.txt	P3S2_1	P3S2_1_SK1
P3S2	1	sky	1	na	Spec00783.asd.txt	P3S2_1	P3S2_1_SK1
P3S2	1	sky	1	na	Spec00784.asd.txt	P3S2_1	P3S2_1_SK1
P3S2	1	sky	1	na	Spec00785.asd.txt	P3S2_1	P3S2_1_SK1
P3S2	1	sky	1	na	Spec00786.asd.txt	P3S2_1	P3S2_1_SK1
P3S2	1	sky	1	na	Spec00787.asd.txt	P3S2_1	P3S2_1_SK1
